"name","kind","alias_of","upstream_package","family","scope","exclusion_reason","problem_representation","fixed_adaptive_behavior","jacobian_requirement","linear_solver_requirement","dense_output_requirement","controller_requirement","required_features","rust_status","rust_name","julia_status","julia_compliance_detected","upstream_source","upstream_line"
"VCABM3","algorithm",,"OrdinaryDiffEqAdamsBashforthMoulton","Adams multistep","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; multistep history; adaptive controller for VC variants","implemented-and-julia-tested","Vcabm3","matched-compliance-detected","True","lib/OrdinaryDiffEqAdamsBashforthMoulton/src/algorithms.jl","145"
"VCABM4","algorithm",,"OrdinaryDiffEqAdamsBashforthMoulton","Adams multistep","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; multistep history; adaptive controller for VC variants","implemented-and-julia-tested","Vcabm4","matched-compliance-detected","True","lib/OrdinaryDiffEqAdamsBashforthMoulton/src/algorithms.jl","158"
"VCABM5","algorithm",,"OrdinaryDiffEqAdamsBashforthMoulton","Adams multistep","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; multistep history; adaptive controller for VC variants","implemented-and-julia-tested","Vcabm5","matched-compliance-detected","True","lib/OrdinaryDiffEqAdamsBashforthMoulton/src/algorithms.jl","171"
"AMF","composite-constructor",,"OrdinaryDiffEqAMF","approximate-matrix-factorization wrapper","included",,"ODEProblem with structured ODEFunction","fixed-step","structured Jacobian/operator factors required","structured factorization and linear solve required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","Rosenbrock-W inner method; Jacobian operator factors; structured linear solve","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqAMF/src/amf.jl","33"
"ABDF2","algorithm",,"OrdinaryDiffEqBDF","BDF and IMEX multistep","included",,"ODEProblem","adaptive-capable","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; nonlinear solve; Jacobian and linear solve; multistep history","implemented-and-julia-tested","Abdf2","matched-compliance-detected","True","lib/OrdinaryDiffEqBDF/src/algorithms.jl","63"
"DABDF2","algorithm",,"OrdinaryDiffEqBDF","BDF and IMEX multistep","excluded","DAE residual-form algorithm; DAE-only behavior is outside regular ODE scope.","DAEProblem (residual form)","fixed-step","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; nonlinear solve; Jacobian and linear solve; multistep history","not-applicable",,"not-applicable","False","lib/OrdinaryDiffEqBDF/src/algorithms.jl","689"
"DFBDF","algorithm",,"OrdinaryDiffEqBDF","BDF and IMEX multistep","excluded","DAE residual-form algorithm; DAE-only behavior is outside regular ODE scope.","DAEProblem (residual form)","fixed-step","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; nonlinear solve; Jacobian and linear solve; multistep history","not-applicable",,"not-applicable","False","lib/OrdinaryDiffEqBDF/src/algorithms.jl","735"
"DImplicitEuler","algorithm",,"OrdinaryDiffEqBDF","BDF and IMEX multistep","excluded","DAE residual-form algorithm; DAE-only behavior is outside regular ODE scope.","DAEProblem (residual form)","fixed-step","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; nonlinear solve; Jacobian and linear solve; multistep history","not-applicable",,"not-applicable","False","lib/OrdinaryDiffEqBDF/src/algorithms.jl","647"
"FBDF","algorithm",,"OrdinaryDiffEqBDF","BDF and IMEX multistep","included",,"ODEProblem","adaptive-capable","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; nonlinear solve; Jacobian and linear solve; multistep history","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqBDF/src/algorithms.jl","504"
"IMEXEuler","configured-alias","SBDF(order=1)","OrdinaryDiffEqBDF","BDF and IMEX multistep","included",,"ODEProblem or SplitODEProblem","fixed-step","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; nonlinear solve; Jacobian and linear solve; multistep history; split explicit/implicit right-hand side","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqBDF/src/algorithms.jl","602"
"IMEXEulerARK","configured-alias","SBDF(order=1, ark=true)","OrdinaryDiffEqBDF","BDF and IMEX multistep","included",,"ODEProblem or SplitODEProblem","fixed-step","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; nonlinear solve; Jacobian and linear solve; multistep history; split explicit/implicit right-hand side","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqBDF/src/algorithms.jl","632"
"MEBDF2","algorithm",,"OrdinaryDiffEqBDF","BDF and IMEX multistep","included",,"ODEProblem or SplitODEProblem","fixed-step","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; nonlinear solve; Jacobian and linear solve; multistep history; split explicit/implicit right-hand side","implemented-and-julia-tested","Mebdf2","matched-compliance-detected","True","lib/OrdinaryDiffEqBDF/src/algorithms.jl","437"
"QBDF","configured-alias","QNDF(kappa=(0,0,0,0,0))","OrdinaryDiffEqBDF","BDF and IMEX multistep","included",,"ODEProblem","adaptive-capable","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; nonlinear solve; Jacobian and linear solve; multistep history","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqBDF/src/algorithms.jl","575"
"QBDF1","configured-alias","QNDF1(kappa=0)","OrdinaryDiffEqBDF","BDF and IMEX multistep","included",,"ODEProblem","adaptive-capable","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; nonlinear solve; Jacobian and linear solve; multistep history","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqBDF/src/algorithms.jl","561"
"QBDF2","configured-alias","QNDF2(kappa=0)","OrdinaryDiffEqBDF","BDF and IMEX multistep","included",,"ODEProblem","adaptive-capable","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; nonlinear solve; Jacobian and linear solve; multistep history","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqBDF/src/algorithms.jl","568"
"QNDF","algorithm",,"OrdinaryDiffEqBDF","BDF and IMEX multistep","included",,"ODEProblem","adaptive-capable","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; nonlinear solve; Jacobian and linear solve; multistep history","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqBDF/src/algorithms.jl","375"
"QNDF1","algorithm",,"OrdinaryDiffEqBDF","BDF and IMEX multistep","included",,"ODEProblem","adaptive-capable","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; nonlinear solve; Jacobian and linear solve; multistep history","implemented-and-julia-tested","Qndf1","matched-compliance-detected","True","lib/OrdinaryDiffEqBDF/src/algorithms.jl","255"
"QNDF2","algorithm",,"OrdinaryDiffEqBDF","BDF and IMEX multistep","included",,"ODEProblem","adaptive-capable","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; nonlinear solve; Jacobian and linear solve; multistep history","implemented-and-julia-tested","Qndf2","matched-compliance-detected","True","lib/OrdinaryDiffEqBDF/src/algorithms.jl","313"
"SBDF","algorithm",,"OrdinaryDiffEqBDF","BDF and IMEX multistep","included",,"ODEProblem or SplitODEProblem","fixed-step","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; nonlinear solve; Jacobian and linear solve; multistep history; split explicit/implicit right-hand side","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqBDF/src/algorithms.jl","123"
"SBDF2","configured-alias","SBDF(order=2)","OrdinaryDiffEqBDF","BDF and IMEX multistep","included",,"ODEProblem or SplitODEProblem","fixed-step","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; nonlinear solve; Jacobian and linear solve; multistep history; split explicit/implicit right-hand side","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqBDF/src/algorithms.jl","197"
"SBDF3","configured-alias","SBDF(order=3)","OrdinaryDiffEqBDF","BDF and IMEX multistep","included",,"ODEProblem or SplitODEProblem","fixed-step","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; nonlinear solve; Jacobian and linear solve; multistep history; split explicit/implicit right-hand side","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqBDF/src/algorithms.jl","212"
"SBDF4","configured-alias","SBDF(order=4)","OrdinaryDiffEqBDF","BDF and IMEX multistep","included",,"ODEProblem or SplitODEProblem","fixed-step","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","first-order state; nonlinear solve; Jacobian and linear solve; multistep history; split explicit/implicit right-hand side","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqBDF/src/algorithms.jl","227"
"DefaultImplicitODEAlgorithm","composite-constructor",,"OrdinaryDiffEqDefault","automatic/default composite","included",,"ODEProblem","automatic-composite","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","automatic stiffness/switching controller and component controllers required","composite algorithms; automatic stiffness detection; native explicit and stiff methods","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqDefault/src/default_alg.jl","239"
"DefaultODEAlgorithm","composite-constructor",,"OrdinaryDiffEqDefault","automatic/default composite","included",,"ODEProblem","automatic-composite","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","automatic stiffness/switching controller and component controllers required","composite algorithms; automatic stiffness detection; native explicit and stiff methods","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqDefault/src/default_alg.jl","63"
"ExplicitRK","algorithm",,"OrdinaryDiffEqExplicitRK","user-tableau explicit Runge-Kutta","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","tableau-dependent dense interpolation","adaptive error/step controller required; fixed stepping may be requested explicitly","first-order state; user-supplied Butcher tableau; adaptive controller","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExplicitRK/src/algorithms.jl","272"
"EPIRK4s3A","algorithm",,"OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","fixed-step","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","185"
"EPIRK4s3B","algorithm",,"OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","fixed-step","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","190"
"EPIRK5P1","algorithm",,"OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","fixed-step","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","205"
"EPIRK5P2","algorithm",,"OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","fixed-step","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","210"
"EPIRK5s3","algorithm",,"OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","fixed-step","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","195"
"ETD1","exact-alias","NorsettEuler","OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","fixed-step","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","110"
"ETD2","algorithm",,"OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","fixed-step","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","272"
"ETDRK2","algorithm",,"OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","fixed-step","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","24"
"ETDRK3","algorithm",,"OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","fixed-step","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","25"
"ETDRK4","algorithm",,"OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","fixed-step","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","26"
"Exp4","algorithm",,"OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","fixed-step","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","180"
"Exprb32","algorithm",,"OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","adaptive-capable","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","117"
"Exprb43","algorithm",,"OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","adaptive-capable","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","118"
"EXPRB53s3","algorithm",,"OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","fixed-step","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","200"
"HochOst4","algorithm",,"OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","fixed-step","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","27"
"LawsonEuler","algorithm",,"OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","fixed-step","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","22"
"NorsettEuler","algorithm",,"OrdinaryDiffEqExponentialRK","exponential Runge-Kutta","included",,"ODEProblem or SplitODEProblem","fixed-step","linear operator or Jacobian action required or inferred","matrix-function or Krylov/operator action required","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","fixed-step scheduling; no embedded-error controller required","linear/operator part; matrix exponential or Krylov action; semilinear split","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExponentialRK/src/algorithms.jl","23"
"AitkenNeville","algorithm",,"OrdinaryDiffEqExtrapolation","extrapolation","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","repeated subintegration; adaptive order/step controller; nonlinear solve for implicit variants","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExtrapolation/src/algorithms.jl","32"
"ExtrapolationMidpointDeuflhard","algorithm",,"OrdinaryDiffEqExtrapolation","extrapolation","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","repeated subintegration; adaptive order/step controller; nonlinear solve for implicit variants","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExtrapolation/src/algorithms.jl","141"
"ExtrapolationMidpointHairerWanner","algorithm",,"OrdinaryDiffEqExtrapolation","extrapolation","included",,"ODEProblem","adaptive-capable","not required by the algorithm family","not required by the algorithm family","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","repeated subintegration; adaptive order/step controller; nonlinear solve for implicit variants","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExtrapolation/src/algorithms.jl","299"
"ImplicitDeuflhardExtrapolation","algorithm",,"OrdinaryDiffEqExtrapolation","extrapolation","included",,"ODEProblem","adaptive-capable","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","repeated subintegration; adaptive order/step controller; nonlinear solve for implicit variants","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExtrapolation/src/algorithms.jl","215"
"ImplicitEulerBarycentricExtrapolation","algorithm",,"OrdinaryDiffEqExtrapolation","extrapolation","included",,"ODEProblem","adaptive-capable","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","repeated subintegration; adaptive order/step controller; nonlinear solve for implicit variants","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExtrapolation/src/algorithms.jl","462"
"ImplicitEulerExtrapolation","algorithm",,"OrdinaryDiffEqExtrapolation","extrapolation","included",,"ODEProblem","adaptive-capable","Jacobian required or generated for implicit stages","linear solve required directly or inside the nonlinear solver","OrdinaryDiffEq interpolation dispatch; audit method-specific order separately","adaptive error/step controller required; fixed stepping may be requested explicitly","repeated subintegration; adaptive order/step controller; nonlinear solve for implicit variants","missing",,"no-matched-compliance-detected","False","lib/OrdinaryDiffEqExtrapolation/src/algorithms.jl","60"
